age,gend,race,nws_region,follow,torwatch,torwarn,resp_ignore,resp_prot,resp_busy,resp_unsure,cointoss,bigbucks,acme_pub,choir,fiveside,sixside,mushroom,spc_mar,spc_sli,spc_enh,spc_mod,spc_hig,spc_mar_col,spc_sli_col,spc_enh_col,spc_mod_col,spc_hig_col,rq_4,rq_5,rq_6,edu,is_bluedot,time_taken,page_time
43,1,1,Eastern Region,3,NA,1,1,5,1,1,10,20,1,NA,,NA,NA,2,1,3,4,5,2,1,3,4,5,0,0,1,4,NA,17,39
57,0,1,Eastern Region,4,NA,2,2,3,3,2,50,1000,99,NA,,NA,NA,2,5,4,3,1,2,1,3,4,5,1,1,1,3,NA,25,118
49,0,1,Central Region,5,1,NA,1,5,1,1,40,3,4,NA,,NA,NA,2,1,5,3,4,1,3,2,4,5,0,0,1,2,NA,31,92
26,0,1,Southern Region,4,1,NA,2,3,2,3,700,10,1,NA,,NA,NA,2,1,4,3,5,1,2,4,5,3,0,0,0,4,NA,41,106
43,0,2,Eastern Region,4,1,NA,3,3,3,3,500,1,1,NA,,NA,NA,1,2,5,3,4,1,3,4,5,2,0,0,0,4,NA,15,30
42,1,1,Central Region,4,NA,2,2,2,2,1,500,10,10,20,50,NA,NA,3,1,4,2,5,2,3,4,5,1,0,0,0,2,NA,13,30
49,0,1,Southern Region,5,1,NA,1,4,2,1,100,2,1,NA,,NA,NA,4,1,3,2,5,2,3,1,5,4,1,1,1,4,NA,22,62
41,0,1,Southern Region,5,1,NA,2,4,2,2,500,25,25,NA,,NA,NA,2,5,3,4,1,3,5,2,4,1,0,0,1,5,NA,28,134
52,1,7,Eastern Region,5,2,NA,2,5,3,4,2,2,2,NA,,NA,NA,5,2,1,4,3,3,5,4,1,2,2,1,1,2,NA,20,21
56,0,1,Southern Region,4,1,NA,1,5,1,2,500,1,1,NA,,NA,NA,2,5,3,4,1,2,3,5,1,4,0,0,0,6,NA,19,44
45,0,1,Southern Region,5,1,NA,2,5,2,1,500,5,1,NA,,NA,NA,2,4,5,1,3,4,3,2,5,1,0,0,1,1,NA,20,98
43,0,1,Western Region,1,NA,1,1,3,3,2,3,5,6,NA,,NA,NA,4,3,1,2,5,1,5,4,3,2,0,0,1,2,NA,12,17
66,0,2,Eastern Region,5,2,NA,1,3,2,2,10,0,1,NA,,NA,NA,2,1,4,3,5,3,2,1,5,4,1,1,0,2,NA,44,101
40,0,1,Central Region,5,1,NA,1,4,1,1,750,300,1,NA,,NA,NA,1,2,4,3,5,1,4,3,5,2,0,0,0,5,NA,26,49
40,0,2,Eastern Region,5,1,NA,4,5,4,4,50,30,10,NA,,NA,NA,1,3,4,2,5,1,2,3,4,5,1,1,1,2,NA,17,42
42,1,1,Southern Region,4,NA,2,2,4,1,1,60,10,20,NA,,NA,NA,5,1,4,3,2,1,3,4,5,2,0,0,0,2,NA,26,85
36,0,1,Southern Region,4,NA,3,3,NA,3,5,100,0,4,NA,,NA,NA,2,1,4,3,5,3,2,1,5,4,2,2,2,2,NA,120,73
59,0,2,Eastern Region,5,NA,2,2,3,3,2,50,50,1,NA,,NA,NA,4,5,2,3,1,1,3,4,5,2,0,1,1,7,NA,35,90
