age,gend,hisp,race,nws_region,spc_rand,spc_risk_perc,spc_resp_perc,cointoss,bigbucks,acme_pub,choir,fiveside,sixside,mushroom
56,0,0,1,Central Region,A MODERATE RISK (30% CHANCE),100,100,50,20,20,30,30,20,40
41,0,0,1,Eastern Region,A SLIGHT RISK (LEVEL 2 of 5),50,100,500,400,100,20,10,2,5
61,0,0,1,Eastern Region,A SLIGHT RISK,15,0,500,10,1,45,16,35,15
39,0,0,1,Central Region,AN ENHANCED RISK,0,0,900,50,50,100,2,3,20
55,1,0,1,Eastern Region,A MODERATE RISK,25,25,500,1,0.0001,15,33,12,5
51,1,0,1,Southern Region,A 5% CHANCE,100,100,5,5,5,50,5,5,5
79,0,0,1,Eastern Region,A LEVEL 2 of 5 RISK,100,NA,50,100,1,2,5,14,20
61,0,0,1,Southern Region,AN 15% CHANCE,50,50,500,100,1,40,30,15,20
53,0,1,1,Eastern Region,A SLIGHT RISK,45,100,50,40,30,30,5,2,5
36,0,0,1,Eastern Region,A MODERATE RISK (30% CHANCE),20,0,500,10,10,40,30,10,20
35,0,0,1,Eastern Region,A LEVEL 4 of 5 RISK,55,55,55,19,9,19,5,6,55
82,0,0,1,Southern Region,A 30% CHANCE,60,75,500,10,1,3,30,45,15
65,0,0,1,Western Region,A 5% CHANCE,2,0,500,10,1,5,30,10,20
40,0,0,4,Central Region,A SLIGHT RISK,90,90,89,87,97,50,25,42,25
48,1,0,1,Southern Region,AN ENHANCED RISK (LEVEL 3 of 5),60,40,500,10,1,50,20,25,15
32,0,0,1,Central Region,A SLIGHT RISK (5% CHANCE),20,20,500,50,1,40,25,10,40
33,1,1,1,Southern Region,A LEVEL 2 of 5 RISK,3,3,3,2,4,4,5,6,6
31,1,0,1,Eastern Region,A LEVEL 2 of 5 RISK,77,55,45,66,97,30,15,50,60
67,1,0,1,Eastern Region,AN ENHANCED RISK,40,50,500,10,0.001,5,40,23,20
62,1,1,1,Eastern Region,A SLIGHT RISK (LEVEL 2 of 5),50,30,400,10,0.01,30,30,12,20
44,0,0,1,Eastern Region,AN 15% CHANCE,6,5,10,50,50,75,5,3,30
30,0,1,1,Western Region,AN 15% CHANCE,77,55,66,10,33,50,33,46,22
45,0,0,1,Southern Region,A SLIGHT RISK (LEVEL 2 of 5),100,0,50,100,100,70,5,42,30
47,0,0,2,Southern Region,A SLIGHT RISK (5% CHANCE),0,0,450,300,10,25,3,30,20
37,0,0,1,Central Region,AN LEVEL 3 of 5 RISK,30,50,200,1,10,100,1,3,10
34,1,0,1,Eastern Region,A MODERATE RISK (LEVEL 4 of 5),80,80,500,100,10,10,40,58,20
32,1,0,1,Eastern Region,A SLIGHT RISK (LEVEL 2 of 5),50,0,500,10,0.1,10,35,45,5
28,0,0,2,Southern Region,A 30% CHANCE,50,50,50,10,10,40,5,10,1
56,0,0,1,Central Region,A MODERATE RISK,50,50,50,50,50,75,5,6,50
40,1,0,1,Central Region,A SLIGHT RISK (5% CHANCE),50,50,500,10,50,5,25,20,20
18,0,0,2,Eastern Region,A LEVEL 4 of 5 RISK,50,20,500,100,10,15,5,40,7
31,1,0,1,Western Region,A 30% CHANCE,80,90,50,50,50,50,3,6,25
63,0,0,1,Eastern Region,A SLIGHT RISK (LEVEL 2 of 5),5,6,50,20,2,20,4,60,15
21,0,1,2,Southern Region,A SLIGHT RISK (5% CHANCE),2,1,2,1,0,1,3,5,7
35,0,0,2,Eastern Region,AN ENHANCED RISK (15% CHANCE),50,50,50,500,50,50,3,30,50
35,1,0,1,Eastern Region,A 30% CHANCE,85,74,1000,10,10,65,3,7,15
38,1,0,1,Eastern Region,AN LEVEL 3 of 5 RISK,70,80,500,500,1,10,25,36,35
41,1,0,1,Southern Region,A LEVEL 4 of 5 RISK,60,55,600,500,50,50,39,11,30
35,0,0,1,Eastern Region,A MODERATE RISK,100,100,100,100,100,100,5,35,25
35,0,0,1,Eastern Region,A MODERATE RISK (30% CHANCE),100,100,1000,2,5,3,10,20,15
70,0,0,1,Central Region,AN LEVEL 3 of 5 RISK,90,75,500,10,1,6,10,25,20
30,1,0,1,Southern Region,AN ENHANCED RISK (LEVEL 3 of 5),60,40,20,10,10,50,5,6,20
58,0,0,1,Southern Region,A 30% CHANCE,60,50,50,20,30,40,5,5,20
35,1,0,1,Eastern Region,A MODERATE RISK (LEVEL 4 of 5),100,100,100,98,80,50,3,5,40
30,1,0,2,Western Region,AN 15% CHANCE,65,70,500,1,1,30,30,35,95
