p_id,age,gend,hisp,race,state,zip,nws_region,lat,lon,rural,home,follow,warn_hist,rand_morn,rec_morn,und_morn,resp_morn,rand_aft,rec_aft,und_aft,resp_aft,rand_eve,rec_eve,und_eve,resp_eve,wx_info1,wx_info2,wx_info3,wx_info4,wx_info5,wx_info6,wx_info7,wx_info8,income,inc_50,inc_100,inc_150,inc_200,edu
5d1123d1-db61-b339-d1ff-dde8b6086e74,43,1,0,1,Virginia,24501,Eastern Region,37.35299683,-79.15570068,1,3,3,1,3:00 AM,4,3,4,11:00 AM,4,4,4,9:00 PM,4,4,4,4,5,5,5,5,5,4,4,1,1,NA,NA,NA,4
5d112410-bba4-40b3-d1ab-c3bf1a0920f4,57,0,0,1,Virginia,23140,Eastern Region,37.51849365,-77.14859772,1,1,4,1,5:00 AM,4,4,4,1:00 PM,4,4,4,12:00 AM (midnight),4,4,4,3,3,3,3,3,3,3,3,3,NA,NA,15,NA,3
5d1123ed-1b23-2eb9-3392-8d2256d1c7f1,49,0,0,1,Kentucky,42071,Central Region,36.6098938,-88.30319977,1,4,5,1,6:00 AM,5,5,5,12:00 PM (noon),5,5,5,10:00 PM,4,4,4,2,3,5,2,1,2,4,5,1,1,NA,NA,NA,2
5d1123fb-91dd-d3c5-c199-e5faa8b81140,26,0,0,1,Florida,32810,Southern Region,28.57879639,-81.43959808,1,1,4,1,8:00 AM,NA,3,3,5:00 PM,3,3,3,6:00 PM,3,3,3,2,3,3,3,3,2,3,3,1,5,NA,NA,NA,4
5d112423-be6d-7324-631c-c35bf9b9ea28,43,0,0,2,New Jersey,8618,Eastern Region,40.21539307,-74.74669647,2,3,4,0,9:00 AM,4,3,3,4:00 PM,4,3,3,6:00 PM,4,3,3,1,1,5,3,3,4,5,4,1,3,NA,NA,NA,4
5d112420-c209-57e0-b1b8-ce7bd3cfc9be,42,1,0,1,Michigan,49058,Central Region,42.64300537,-85.29370117,2,1,4,1,3:00 AM,4,5,4,1:00 PM,3,3,3,12:00 AM (midnight),4,5,4,4,4,4,4,3,3,4,5,2,NA,6,NA,NA,2
5d112430-fdff-bd30-19c6-e2771d3acba7,49,0,0,1,Arkansas,72347,Southern Region,32.86659241,-96.99269867,3,1,5,1,4:00 AM,2,5,5,4:00 PM,5,5,5,6:00 PM,5,5,5,5,5,4,5,1,5,5,5,1,2,NA,NA,NA,4
5d11240a-daaf-e775-1c2c-1b4a1d205b60,41,0,0,1,Louisiana,71292,Southern Region,32.5316925,-92.17680359,2,1,5,1,3:00 AM,2,3,4,10:00 AM,5,5,5,11:00 PM,4,4,4,3,3,3,2,2,3,4,4,1,2,NA,NA,NA,5
5d11241d-86c8-43c0-73a3-d068ec5c9e90,52,1,1,7,Delaware,19805,Eastern Region,39.92059326,-75.18260193,1,3,5,1,5:00 AM,4,5,5,2:00 PM,5,5,5,9:00 PM,4,4,4,4,4,4,4,4,5,3,3,1,4,NA,NA,NA,2
5d112413-da11-4d6e-7c36-705fb3e13291,56,0,0,1,Georgia,31023,Southern Region,33.93490601,-84.39219666,3,1,4,1,3:00 AM,4,4,5,5:00 PM,4,4,5,6:00 PM,4,4,4,4,4,5,3,3,3,5,4,2,NA,9,NA,NA,6
5d11249f-59a6-af37-48ee-a20139a599f6,45,0,0,1,Alabama,35959,Southern Region,34.24169922,-85.6026001,3,3,5,0,1:00 AM,4,3,5,5:00 PM,5,5,5,8:00 PM,5,5,5,5,5,5,3,5,3,5,5,1,1,NA,NA,NA,1
5d11241d-32c0-f8f6-6f87-6fe904edfd74,43,0,1,1,California,93657,Western Region,36.60440063,-119.4378052,2,3,1,1,6:00 AM,5,3,3,5:00 PM,4,3,4,10:00 PM,5,3,3,3,4,5,3,5,3,2,4,NA,NA,NA,NA,NA,2
5d112423-386e-e004-c163-1372be5c20ad,66,0,0,2,New Jersey,8618,Eastern Region,40.21539307,-74.74669647,2,3,5,1,4:00 AM,4,4,4,4:00 PM,4,4,4,10:00 PM,4,4,4,1,1,4,4,1,4,5,5,1,2,NA,NA,NA,2
5d112495-8cab-4a2d-1086-03244469d1c7,40,0,0,1,Iowa,52803,Central Region,41.5749054,-90.60870361,1,1,5,1,9:00 AM,5,5,5,12:00 PM (noon),5,5,5,12:00 AM (midnight),5,5,5,4,1,5,4,5,4,3,5,1,3,NA,NA,NA,5
5d11247e-df66-14d3-daef-03003ecc9b57,40,0,0,2,Virginia,22902,Eastern Region,38.90339661,-76.98819733,1,1,5,1,7:00 AM,5,5,5,4:00 PM,5,5,5,8:00 PM,5,5,5,5,5,5,5,5,5,5,5,1,2,NA,NA,NA,2
5d11244c-a8a8-4d51-854e-195452e2052a,42,1,0,1,Texas,78414,Southern Region,29.82029724,-95.42559814,2,3,4,0,7:00 AM,4,4,4,1:00 PM,5,4,4,10:00 PM,5,4,4,5,4,4,4,4,1,4,4,1,2,NA,NA,NA,2
5d1124a1-ef01-c1f2-d84c-232f4eed759b,36,0,1,1,Florida,33311,Southern Region,25.85020447,-80.23670197,1,3,4,0,5:00 AM,2,1,1,12:00 PM (noon),3,1,1,10:00 PM,2,1,1,4,4,4,4,4,4,4,4,1,1,NA,NA,NA,2
5d1124a2-c25c-f41d-17c8-a3d5275c373e,59,0,0,2,New Jersey,8865,Eastern Region,40.707901,-75.15070343,2,1,5,1,6:00 AM,3,4,4,11:00 AM,4,4,4,9:00 PM,5,4,4,4,5,4,5,4,3,5,3,3,NA,NA,13,NA,7
5d1124ae-7846-2d87-839c-0f8eee064e4e,55,0,0,1,Florida,32216,Southern Region,30.28840637,-81.63610077,1,1,4,1,1:00 AM,2,2,3,11:00 AM,3,4,4,12:00 AM (midnight),2,2,3,3,4,3,4,2,3,4,5,2,NA,10,NA,NA,5
5d112497-12ae-8068-7ac3-7fdb59f48511,23,1,0,2,Iowa,52601,Central Region,41.55160522,-90.50170135,2,3,5,1,4:00 AM,2,4,5,2:00 PM,5,4,3,11:00 PM,5,3,4,5,4,5,4,5,3,4,4,2,NA,10,NA,NA,2
5d1124bc-d47e-f5eb-d12e-c7cce57992fd,29,0,0,1,California,93706,Western Region,33.87780762,-118.2136993,2,1,4,0,8:00 AM,5,4,5,11:00 AM,5,5,5,7:00 PM,5,5,5,1,4,4,4,2,3,3,4,2,NA,6,NA,NA,2
5d1124a3-c2ff-802e-c5e6-ae07eb2a570b,56,1,0,1,California,95843,Western Region,38.62260437,-121.388504,2,1,5,1,8:00 AM,4,4,2,2:00 PM,4,4,2,12:00 AM (midnight),3,2,1,4,2,2,3,1,3,4,4,3,NA,NA,14,NA,6
5d11249a-4e20-962c-670c-3f58bd4587a2,26,0,0,4,Texas,75094,Southern Region,33.02870178,-96.68260193,3,1,5,1,3:00 AM,4,4,4,2:00 PM,4,4,5,7:00 PM,4,5,5,5,5,5,5,5,5,5,5,2,NA,9,NA,NA,6
5d1124b8-2580-057e-c9ac-61ea977a0e76,60,0,0,1,Arizona,85711,Western Region,32.2460022,-110.9177017,1,1,NA,0,1:00 AM,5,5,5,10:00 AM,5,5,5,12:00 AM (midnight),5,5,5,5,5,5,5,5,5,5,5,2,NA,6,NA,NA,5
5d1124cb-f90b-8543-3ef6-da1e32c238a2,40,0,0,2,Pennsylvania,15132,Eastern Region,40.34779358,-79.86419678,2,1,5,0,5:00 AM,3,3,4,5:00 PM,4,4,4,10:00 PM,4,4,4,5,5,5,5,5,2,5,5,1,4,NA,NA,NA,2
5d112517-87f2-1805-2b07-1db56ef98cb9,37,1,0,2,Missouri,64133,Central Region,39.03529358,-94.46360016,1,3,4,1,7:00 AM,4,3,5,1:00 PM,3,3,4,7:00 PM,4,3,4,4,2,4,3,2,4,4,4,1,4,NA,NA,NA,5
5d112502-de14-1088-1cff-4f8c98efba6e,25,0,0,1,Pennsylvania,17044,Eastern Region,40.59939575,-77.57559967,2,2,5,1,5:00 AM,5,5,5,11:00 AM,5,5,5,8:00 PM,5,5,5,5,5,5,5,5,5,5,5,1,3,NA,NA,NA,2
5d1124b6-48dd-df55-6e2e-d27671c92cc9,36,0,0,1,Texas,75766,Southern Region,37.75100708,-97.8219986,3,1,5,0,9:00 AM,2,3,3,3:00 PM,2,3,3,11:00 PM,2,2,2,3,3,4,3,4,5,3,3,1,3,NA,NA,NA,2
5d1124c4-345a-d99a-e908-d5d801a1ac06,44,0,0,1,Florida,34669,Southern Region,28.30220032,-82.62640381,2,2,4,0,8:00 AM,3,3,4,11:00 AM,4,4,4,10:00 PM,4,4,4,5,5,1,4,2,5,5,1,2,NA,10,NA,NA,4
5d1124d8-1876-b273-4afc-b68c36eda631,55,1,0,2,New York,10941,Eastern Region,41.45350647,-74.47740173,2,3,5,1,4:00 AM,5,4,4,11:00 AM,5,4,5,9:00 PM,5,5,5,5,5,5,4,2,3,4,5,1,1,NA,NA,NA,2
