hisp,english,spc_rand,spc_mar,spc_sli,spc_enh,spc_mod,spc_hig,spc_mar_col,spc_sli_col,spc_enh_col,spc_mod_col,spc_hig_col,weight
3,3,B,2,1,3,4,5,3,1,2,5,4,1.556337924
1,3,A,2,1,5,3,4,4,2,1,5,3,1.43190226
0,2,B,5,1,4,3,2,4,2,5,1,3,0.08773457
3,3,A,2,1,4,3,5,1,3,2,5,4,2.476719227
2,3,A,2,1,5,3,4,3,1,4,5,2,0.266590623
4,1,A,2,3,5,1,4,1,2,3,5,4,0.83447948
1,3,B,1,2,4,3,5,1,3,2,5,4,4.669595102
1,3,A,1,5,2,3,4,1,2,3,4,5,1.630448228
0,3,A,1,2,5,4,3,2,3,1,5,4,0.20890979
1,2,A,1,2,5,3,4,1,2,4,5,3,1.451614748
4,1,A,1,2,5,3,4,3,2,4,5,1,1.3886337
2,2,B,4,5,3,2,1,3,4,2,1,5,0.43796548
0,3,B,2,1,3,4,5,1,2,3,4,5,0.20890979
1,3,A,1,2,5,3,4,1,2,3,4,5,2.740829557
2,3,B,3,4,5,2,1,4,2,1,5,3,0.643533126
0,3,A,1,2,4,3,5,1,2,3,4,5,0.428106447
4,3,A,1,2,4,3,5,1,2,3,5,4,0.783415996
2,3,A,1,2,4,3,5,1,2,3,4,5,0.37660306
1,3,B,3,5,1,4,2,4,3,5,1,2,1.123965585
1,2,B,1,2,3,4,5,1,2,4,5,3,0.793487316
1,3,A,1,5,2,3,4,1,4,3,5,2,1.43190226
1,3,A,4,2,5,3,1,1,3,2,5,4,1.248232066
2,3,A,1,2,4,3,5,1,3,4,5,2,0.443625915
2,2,B,4,2,1,3,5,5,2,1,3,4,0.63532198
3,3,B,4,1,3,5,2,2,1,5,4,3,1.101703996
1,3,B,4,1,5,3,2,4,2,3,1,5,1.135418565
1,2,A,2,1,4,3,5,1,2,3,5,4,0.601347256
1,3,B,1,2,3,4,5,3,1,2,5,4,2.740829557
1,3,B,1,2,3,4,5,3,1,2,5,4,1.123965585
3,3,A,4,5,2,3,1,4,5,3,1,2,1.101703996
4,1,B,4,5,3,1,2,3,5,1,2,4,0.83447948
4,3,A,4,5,3,2,1,4,5,2,1,3,0.922838061
4,3,A,2,1,5,3,4,1,3,4,5,2,4.365614143
0,3,B,3,1,2,5,4,1,2,3,4,5,0.20890979
1,3,A,2,1,5,4,3,1,3,2,5,4,2.669113275
1,2,A,4,1,2,3,5,3,4,2,5,1,0.793487316
4,3,B,1,2,3,4,5,2,3,1,5,4,1.3036604
1,2,B,4,3,1,5,2,1,2,4,5,3,0.793487316
4,2,B,1,2,3,4,5,1,2,4,5,3,0.547490305
4,1,A,1,2,5,3,4,1,2,3,5,4,0.83447948
2,2,A,3,1,5,2,4,5,2,3,4,1,0.340831911
0,3,B,2,4,5,1,3,2,1,4,5,3,0.295119407
0,3,B,1,2,3,4,5,2,3,4,5,1,0.229666757
0,2,B,1,2,3,4,5,1,2,3,4,5,0.160502623
0,3,B,5,4,3,2,1,1,4,3,5,2,0.229666757
0,3,B,5,3,4,2,1,2,4,3,1,5,0.138014939
0,3,B,4,5,3,2,1,5,2,3,1,4,0.138014939
0,3,B,3,5,2,1,4,3,5,1,2,4,0.295119407
2,3,B,3,2,5,4,1,5,2,3,1,4,0.6266945
4,3,B,1,2,3,5,4,2,3,1,5,4,4.365614143
2,2,B,3,5,4,1,2,3,2,1,4,5,0.43796548
1,3,B,1,2,3,4,5,1,2,3,5,4,1.889417919
4,1,A,1,2,4,3,5,1,2,4,5,3,2.014381388
1,3,B,1,3,4,5,2,2,5,1,3,4,2.326745946
0,3,B,3,2,5,4,1,5,4,2,3,1,0.180275943
2,2,A,1,3,4,2,5,1,2,3,5,4,0.63532198
1,3,B,1,4,3,5,2,2,3,5,4,1,0.8604811
0,3,A,5,2,3,4,1,1,4,3,5,2,0.158323047
3,3,B,3,1,2,4,5,1,2,4,5,3,1.101703996
0,3,A,4,3,5,2,1,4,3,2,1,5,0.095141961
4,2,A,5,2,4,3,1,2,4,3,5,1,0.383649362
4,1,B,2,1,3,4,5,1,5,3,4,2,0.744961914
0,1,A,5,2,3,1,4,5,1,4,2,3,0.16864263
0,3,A,3,1,5,2,4,1,3,4,5,2,0.095141961
0,2,B,4,2,5,3,1,5,3,1,2,4,0.206244211
0,0,A,2,1,4,3,5,1,4,3,5,2,0.458894687
1,3,B,2,1,3,4,5,2,3,4,5,1,6.773813326
0,3,A,1,3,4,2,5,1,3,4,5,2,0.158323047
0,3,B,1,2,3,4,5,1,4,3,5,2,0.206802515
1,3,A,3,4,1,2,5,1,2,3,5,4,0.8604811
0,3,B,3,1,5,2,4,5,4,1,2,3,0.295119407
0,3,A,5,4,3,2,1,5,3,4,1,2,0.229666757
4,2,B,1,2,3,4,5,1,3,4,5,2,0.488759082
1,2,B,5,2,1,3,4,1,5,3,4,2,0.872327037
4,3,A,2,1,3,4,5,2,1,4,5,3,1.338688392
0,3,A,2,1,4,3,5,1,4,2,5,3,0.988276897
1,3,A,5,3,2,1,4,1,2,4,5,3,0.8604811
0,3,B,4,5,3,2,1,4,3,2,5,1,0.295119407
2,3,B,2,5,4,3,1,1,4,3,5,2,0.38672199
0,3,A,5,4,2,3,1,1,3,4,5,2,0.138014939
0,3,A,1,2,5,3,4,1,4,3,5,2,0.229666757
1,3,B,2,3,4,1,5,2,4,1,5,3,1.889417919
1,2,B,2,3,5,4,1,5,1,3,2,4,1.00068496
0,3,A,1,5,2,3,4,1,2,3,5,4,0.516309348
1,2,A,5,4,2,1,3,4,2,1,5,3,0.872327037
0,3,A,2,1,4,3,5,1,3,2,5,4,0.516309348
0,3,A,1,2,5,3,4,1,4,2,5,3,0.229666757
0,3,B,2,3,1,4,5,2,3,1,5,4,0.158323047
0,3,B,1,2,3,4,5,1,2,4,5,3,0.428106447
0,3,B,2,3,1,4,5,1,2,4,5,3,0.158323047
0,3,A,2,1,5,3,4,1,4,3,5,2,0.138014939
3,2,B,2,1,3,5,4,2,1,4,5,3,1.730855345
2,3,A,5,3,1,4,2,2,5,3,1,4,0.37660306
1,3,B,1,2,3,4,5,3,2,1,4,5,1.135418565
0,3,B,2,5,1,3,4,1,2,4,3,5,0.158323047
1,3,B,2,1,3,4,5,1,2,3,5,4,2.077147675
0,3,B,4,3,5,1,2,5,4,3,1,2,0.295119407
0,3,B,1,2,3,4,5,3,5,4,1,2,0.962417739
0,3,B,5,2,1,4,3,1,4,5,2,3,0.158323047
0,3,B,1,2,3,4,5,1,2,3,5,4,0.428106447
3,3,B,2,1,3,4,5,1,2,4,5,3,1.101703996
1,3,B,4,5,2,3,1,1,3,2,5,4,3.871872116
4,3,A,1,2,4,3,5,1,3,4,5,2,1.891117323
