torwatch,torwarn,weightfactor,lang
1,NA,0.535178,English
NA,2,0.010594,English
NA,2,0.02016,English
1,NA,1.765477,English
1,NA,1.328473,English
NA,3,1.709348,English
2,NA,1.765477,English
NA,2,1.090347,English
1,NA,1.561469,English
NA,2,1.419572,English
NA,2,0.648168,English
1,NA,1.394491,English
2,NA,1.262785,English
NA,2,0.540558,English
1,NA,1.402706,English
NA,2,0.540558,English
1,NA,0.579645,English
NA,2,0.823887,English
NA,1,1.186686,English
NA,2,0.579645,English
1,NA,1.095428,English
1,NA,2.0246,English
NA,2,0.786224,English
NA,2,1.709348,English
1,NA,0.526114,English
NA,2,0.593401,English
NA,2,0.038868,English
1,NA,0.786224,English
1,NA,0.579645,English
NA,2,1.754795,English
NA,2,1.754795,English
2,NA,4.062441,English
NA,2,0.579645,English
2,NA,3.043173,English
NA,2,1.940406,English
NA,1,1.402706,English
NA,2,1.33715,English
NA,2,0.590807,English
1,NA,0.579645,English
1,NA,2.802921,English
1,NA,0.579645,English
2,NA,0.579645,English
NA,2,1.244855,English
1,NA,1.095428,English
NA,2,2.0246,English
NA,1,1.263585,English
2,NA,2.315204,English
NA,1,1.244855,English
NA,2,1.095428,English
1,NA,1.244855,English
1,NA,2.315204,English
1,NA,2.0246,English
1,NA,1.244855,English
NA,2,0.590807,English
2,NA,0.611835,English
NA,2,0.728055,English
NA,1,0.611835,English
NA,2,0.7404,English
1,NA,1.050595,English
NA,2,0.7404,English
1,NA,0.590807,English
1,NA,1.402706,English
NA,2,2.766905,English
NA,2,1.095428,English
3,NA,1.105563,English
NA,2,1.437701,English
1,NA,1.244855,English
1,NA,0.984748,English
1,NA,0.579645,English
1,NA,0.786224,English
1,NA,1.064224,English
1,NA,1.101848,English
NA,2,0.579645,English
NA,2,4.697186,English
NA,2,2.909562,English
NA,2,1.561469,English
NA,2,1.709348,English
NA,1,4.858463,English
NA,2,1.402706,English
2,NA,0.27152,English
NA,2,1.437701,English
1,NA,0.540558,English
NA,2,1.627167,English
1,NA,2.766905,English
2,NA,0.740303,English
NA,NA,0.579645,English
NA,2,0.38886,English
1,NA,0.740303,English
1,NA,1.561469,English
2,NA,1.402706,English
NA,2,0.7404,English
1,NA,1.402706,English
NA,2,1.437701,English
NA,2,0.728055,English
NA,2,0.786224,English
NA,1,0.984748,English
NA,2,0.479538,English
NA,2,0.479538,English
NA,2,0.467797,English
2,NA,0.521367,English
3,NA,1.709348,English
1,NA,0.968729,English
NA,2,2.159746,English
2,NA,0.841543,English
1,NA,0.526114,English
2,NA,0.7404,English
NA,2,0.823887,English
NA,2,1.01092,English
1,NA,1.765477,English
NA,2,1.306155,English
NA,2,0.579645,English
NA,2,0.786224,English
1,NA,0.660751,English
NA,2,0.402214,English
NA,2,0.7404,English
1,NA,1.754795,English
1,NA,0.481,English
1,NA,0.823887,English
NA,2,1.709348,English
1,NA,1.561469,English
2,NA,0.540558,English
NA,2,0.648168,English
NA,2,0.038868,English
NA,2,2.0246,English
NA,2,2.47655,English
1,NA,0.479538,English
3,NA,2.766905,English
NA,2,0.579645,English
1,NA,3.136292,English
1,NA,1.402706,English
1,NA,1.463489,English
NA,2,0.484508,English
1,NA,1.437701,English
NA,1,0.786224,English
NA,2,1.627167,English
1,NA,1.090347,English
NA,2,0.743294,English
1,NA,1.709348,English
NA,2,1.437701,English
