WFO,days
LIX,266
JAN,254
SHV,225
TAE,215
MEG,208
LCH,207
OUN,201
LZK,199
GLD,198
MOB,186
PAH,183
TSA,182
BOU,177
HGX,174
JAX,172
FWD,169
LSX,163
LWX,153
OHX,151
ILN,151
FGF,151
ILX,150
BMX,149
MPX,148
AKQ,148
DVN,147
PUB,146
SGF,142
FFC,141
LMK,139
LBF,136
MLB,133
DMX,131
IND,130
OAX,128
RAH,126
DDC,125
FSD,124
BIS,124
AMA,122
GID,121
TBW,118
SJT,117
CYS,117
CLE,117
EWX,116
ICT,114
LOT,114
MHX,110
GSP,109
PBZ,107
MAF,107
PHI,106
EAX,106
HUN,105
MFL,102
ILM,101
UNR,101
TOP,100
RNK,95
CTP,95
CRP,92
CHS,87
ABR,83
ABQ,83
ARX,81
MKX,79
IWX,79
CAE,79
BGM,77
LUB,75
MRX,75
JKL,74
DLH,61
DTX,60
BOX,60
GRR,54
RLX,53
ALY,50
BRO,49
RIW,45
BUF,44
GRB,43
OKX,37
PIH,34
GYX,33
STO,32
GGW,32
BYZ,30
APX,23
FGZ,22
KEY,21
TWC,18
MQT,18
HNX,15
CAR,14
TFX,13
LOX,12
BTV,11
PQR,9
EPZ,9
SGX,7
SEW,6
LKN,6
MTR,5
GJT,5
PSR,5
JSJ,4
PDT,4
REV,4
BOI,4
VEF,3
HFO,2
SLC,2
HS ,1
MFR,1
OTX,1
