WFO,COLD,FIRE,FLOOD,HEAT,HURR,SNOW,TORN,DROUGHT
ABQ,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABR,1.9168403881611062,-0.3576604919484107,-0.1970471742911856,-0.3936193271027851,-0.5130928251706659,-0.09460305476336975,-0.07070103838846677,0.7257614813901122
AKQ,-0.766036578480442,-0.5703984503233087,-0.3781523410140894,-0.460401614087873,0.9114943129502416,-0.3024603689532052,0.538892465879526,-0.7264854329924959
ALY,1.2977149343207488,-0.5049406169771863,0.38132093879163587,0.3075946862406379,-0.39437723032725686,0.6818051482398395,-0.906714987098857,-1.3007399318169914
AMA,0.8849646317605109,3.929827592222612,-0.6585732443269725,-0.5271839010729609,-0.5130928251706659,-0.3085738193705534,0.6085602949387253,0.9725485387361763
APX,-0.4564738515602634,-0.4885761586406557,-1.254467663866849,-0.5605750445655049,-0.5130928251706659,0.8346414086735421,-1.0112167306876556,-1.305485836765954
ARX,0.6785894804803916,-0.259473741929227,0.5448997990574846,-0.09309903566988946,-0.5130928251706659,-0.02124164975519254,-0.140368867447666,-0.2518949380962187
BGM,-0.04372354900002523,-0.5867629086598394,0.14763685269756655,-0.4270104705953291,-0.5130928251706659,0.4922881853020484,-0.5583758418028612,-1.4004039357452096
BIS,1.6072776612409272,-0.3576604919484107,-0.8630468196592832,-0.460401614087873,-0.5130928251706659,0.07046010650502903,1.02656726929392,0.3460890854730902
BMX,1.710465236880987,-0.5867629086598394,0.08921583117404921,3.780273609465209,0.43663193357660585,-0.8954650594359714,1.479408158178715,0.22269555680005818
BOI,-0.7144427906604122,-0.32493157527534944,-1.067520394991594,-0.6273573315505928,-0.5130928251706659,0.03377940400094053,-1.1331354315412543,1.4613767484793416
BOU,-0.7144427906604122,-0.472211700304125,-0.4307312603852549,-0.460401614087873,-0.5130928251706659,1.0424987228633775,2.0019168761227086,0.9583108238892882
BOX,0.11105781446006412,-0.521305075313717,0.5156892882957259,0.40776811671826985,0.5553475284200148,0.30888467278160525,-0.906714987098857,-1.2817563120211404
BRO,-0.7144427906604122,0.14963771648403848,-0.6936258572410828,-0.460401614087873,0.08048514904637893,-1.0788685719564144,-0.7847962862452584,0.7399991962370003
BTV,0.05946402664003441,-0.5867629086598394,-0.4365733625376067,-0.460401614087873,-0.5130928251706659,0.9263431649337637,-1.2724710896596527,-1.6519368980402365
BUF,-0.4564738515602634,-0.5703984503233087,-0.3606260345570342,-0.5939661880580488,-0.5130928251706659,1.3053770908093463,-1.0286336879524554,-1.6661746128871249
BYZ,-0.6628490028403825,0.13327325814750793,-0.8630468196592832,-0.5939661880580488,-0.5130928251706659,1.5315747562512259,-0.8370471580396578,0.8823763447058837
CAE,-0.7144427906604122,-0.5867629086598394,-0.5300469969752343,-0.460401614087873,0.43663193357660585,-0.8954650594359714,0.12088549152433091,0.4694826141461226
CAR,1.5556838734208978,-0.5867629086598394,-0.6994679593934346,-0.5605750445655049,-0.156946040640439,0.4250402307112191,-1.150552388806054,-1.466846605030688
CHS,-0.766036578480442,-0.32493157527534944,-0.2320997872052961,-0.05970789217734555,3.285806209818421,-1.048301319869674,-0.12295191018286628,-0.0051078807501546124
CLE,-0.19850491246011445,-0.5867629086598394,-0.11525774415826143,-0.5605750445655049,-0.5130928251706659,0.41892678029387115,-0.19261973924206535,-1.5475269891630556
CRP,-0.7144427906604122,0.5260202582242427,0.054163218259938944,-0.3602281836102411,0.43663193357660585,-1.048301319869674,-0.19261973924206535,0.8776304397569207
CTP,0.4722143292002725,-0.5867629086598394,0.3228999172681185,-0.32683704011769715,-0.39437723032725686,0.07046010650502903,0.13830244878913064,-1.2770104070721775
CYS,0.05946402664003441,-0.521305075313717,-0.8396784110498762,-0.6273573315505928,-0.5130928251706659,1.0302718220286815,0.3298889787019283,1.1528929267967616
DDC,-0.6112552150203526,-0.472211700304125,-0.5417312012799378,-0.5939661880580488,-0.5130928251706659,-0.4797504310563003,1.4445742436491156,0.9298353941955114
DLH,2.6907472054615527,-0.4885761586406557,-1.067520394991594,-0.4937927575804169,-0.5130928251706659,0.7368262019959725,-0.8544641153044575,0.30337594093242537
DMX,0.05946402664003441,-0.5540339919867782,1.5322150628049274,-0.460401614087873,-0.5130928251706659,-0.18019136060624313,1.6884116453563123,-0.019345595597043012
DTX,0.5238081170203023,-0.5376695336502475,-0.8455205132022279,-0.026316748684801567,-0.5130928251706659,-0.16185100935419888,-0.3667893118900633,-1.500067939673428
DVN,0.16265160228009393,-0.5703984503233087,0.8545312131321263,-0.4270104705953291,-0.5130928251706659,0.1621618627652506,0.9743163974995209,-0.5508869498808735
EAX,-0.4048800637402336,-0.5867629086598394,1.2401099551873407,0.47455040370335766,-0.5130928251706659,-0.44306972855221166,0.43439072229072734,0.11828564792287743
EKA,-0.766036578480442,-0.40675386695800253,-1.4005202176756426,-0.5939661880580488,-0.5130928251706659,-0.5653387368991737,-1.429223705042851,-0.3278294172796233
EPZ,-0.7144427906604122,-0.5867629086598394,-0.1444682549200201,-0.6273573315505928,-0.5130928251706659,-0.7181749973328764,-1.150552388806054,1.076958447613357
EWX,-0.7144427906604122,-0.06310024189085953,1.4679519391290583,0.5413326906884457,-0.03823044579702999,-0.8526709065145346,0.19055332058353014,0.9772944436851392
EYW,-0.766036578480442,-0.5867629086598394,-1.5407306693320841,-0.6273573315505928,1.5050722871672866,-1.1155492744605031,-1.3073050041892522,-2.2973799710991734
FFC,-0.14691112464008477,1.5078877584160801,0.46311036892456003,0.040465538300286326,1.8612190716975134,-0.4919773318909965,0.7653129103219232,0.4789744240440481
FGF,2.5359658420014637,-0.521305075313717,0.013268503193476854,-0.5271839010729609,-0.5130928251706659,0.19272911485199112,2.141252534241107,0.12777745782080294
FGZ,-0.3532862759202038,0.9187672583009775,0.20021577206873226,-0.26005475313260923,-0.5130928251706659,-0.11905685643276208,-0.819630200774858,1.6464670414888898
FSD,0.5754019048403322,-0.4231183252945332,0.7727417829992022,-0.026316748684801567,-0.5130928251706659,0.4066998794591748,0.887231611175522,-0.028837405494968504
FWD,-0.3532862759202038,1.1642341333489368,1.164162627206768,0.7416795516437092,0.08048514904637893,-0.6509270427420473,0.9917333547643206,0.8966140595527717
GGW,2.226403115081285,-0.0958291585639208,-0.646889040022269,-0.3936193271027851,-0.5130928251706659,-0.02124164975519254,-0.7847962862452584,0.21320374690213267
GID,-0.6112552150203526,-0.5049406169771863,-0.7578889809169519,-0.5271839010729609,-0.5130928251706659,-0.21687206311033183,0.8175637821163226,0.6166056675639685
GJT,-0.5080676393802932,2.849773342011591,0.08921583117404921,-0.6273573315505928,-0.5130928251706659,5.658153787961197,-0.819630200774858,1.3237455049594211
GLD,-0.2500987002801443,-0.45584724196759446,-0.48331017975642043,-0.5939661880580488,-0.5130928251706659,-0.3208007202052496,1.04398422655872,1.119671592154022
GRB,0.16265160228009393,-0.5867629086598394,-0.9682046584016143,0.007074394807742345,-0.5130928251706659,-0.00290129850314818,-0.3667893118900633,-0.4939360904933202
GRR,-0.766036578480442,-0.5867629086598394,-1.2953623789333113,-0.5939661880580488,-0.5130928251706659,0.07657355692237722,-0.5757927990676609,-1.329215361510768
GSP,0.4206205413802427,-0.4394827836310638,0.9772153583315127,-0.15988132265497743,-0.39437723032725686,0.9018893632643713,0.19055332058353014,0.51694166363575
GYX,0.5238081170203023,-0.5867629086598394,0.42805775601044993,-0.6273573315505928,-0.39437723032725686,0.5289688878061368,-0.8718810725692574,-1.1014119239605549
HGX,-0.6112552150203526,-0.5703984503233087,-0.08020513124415095,0.9754175560915169,1.6237878820106955,-1.0055071669482372,1.1833198846771182,0.23693327164694658
HNX,0.00787023882000459,2.882502258684652,-0.4190470560805515,1.0421998430766048,-0.5130928251706659,1.011931470776637,-1.063467602482055,1.0010239684299531
HUN,0.05946402664003441,-0.45584724196759446,-0.2496260936623511,1.4428935649871324,-0.156946040640439,-0.6631539435767434,0.13830244878913064,-0.6790263835028685
