CWA,zip,p_id,location,state,adults,risk_wind,risk_rain,risk_heat,risk_drought,risk_cold,risk_snow,risk_tor,risk_flood,risk_hur,risk_fire,sample,latitude,longitude,WFO,LON,LAT,CWA_REGION,FullStaId,CityState,City,State,ST,MALE,AGE,AGE_GROUP,HISP,RACE_GROUP,COLD,FIRE,FLOOD,HEAT,HURR,SNOW,TORN,DROUGHT
ABQ,87102,1377590157,1,New Mexico,2,3,3,5,5,2,2,2,2,1,4,WX,35.083946,-106.64792,ABQ,-106.0166117,35.11253875,SR,KABQ,Albuquerque NM,Albuquerque,New Mexico,NM,1,68,3,1,1,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,87109,EPO7FRQ48RPZKLR4M9,NA,New Mexico,2,5,5,4,4,4,5,5,5,4,5,WX,35.155811,-106.56662,ABQ,-106.0166117,35.11253875,SR,KABQ,Albuquerque NM,Albuquerque,New Mexico,NM,1,34,1,0,1,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,87121,EPO7C97LBGVGF4P4M5,NA,New Mexico,2,2,1,3,5,1,1,3,2,1,5,WX,35.051247,-106.74258,ABQ,-106.0166117,35.11253875,SR,KABQ,Albuquerque NM,Albuquerque,New Mexico,NM,0,33,1,0,1,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,87123,EPO7FX6FX2MC22G4M8,NA,New Mexico,3,5,5,5,5,1,1,1,3,1,5,WX,35.067447,-106.50645,ABQ,-106.0166117,35.11253875,SR,KABQ,Albuquerque NM,Albuquerque,New Mexico,NM,1,48,2,0,1,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,87109,1389523964,1,New Mexico,3,5,2,5,4,1,2,1,1,1,4,WX,35.155811,-106.56662,ABQ,-106.0166117,35.11253875,SR,KABQ,Albuquerque NM,Albuquerque,New Mexico,NM,0,18,1,1,3,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,87301,EPO7FL6B6D5R2RL4M8,NA,New Mexico,2,3,3,3,4,2,2,2,3,1,4,WX,35.534253,-108.84857,ABQ,-106.0166117,35.11253875,SR,KABQ,Albuquerque NM,Albuquerque,New Mexico,NM,1,72,3,0,1,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,87401,1279152538,1,New Mexico,1,3,2,4,4,3,3,3,3,2,3,WX,36.625357,-108.19225,ABQ,-106.0166117,35.11253875,SR,KABQ,Albuquerque NM,Albuquerque,New Mexico,NM,0,49,2,0,1,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,87461,1323256953,1,New Mexico,2,4,3,5,5,5,3,3,2,2,4,WX,36.475414,-108.81089,ABQ,-106.0166117,35.11253875,SR,KABQ,Albuquerque NM,Albuquerque,New Mexico,NM,1,26,1,0,3,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,87501,EPO7FQHFX5GJWVY4M3,NA,New Mexico,1,4,3,3,4,3,3,2,2,1,4,WX,35.755312000000004,-105.99936,ABQ,-106.0166117,35.11253875,SR,KABQ,Albuquerque NM,Albuquerque,New Mexico,NM,0,67,3,0,1,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,87501,EPO7FRNY96PPQ8L4M0,NA,New Mexico,2,3,2,4,4,2,2,2,2,1,4,WX,35.755312000000004,-105.99936,ABQ,-106.0166117,35.11253875,SR,KABQ,Albuquerque NM,Albuquerque,New Mexico,NM,1,67,3,0,1,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
ABQ,87507,EPO79TJQ2LDQY2Z4M6,NA,New Mexico,2,3,3,2,4,3,4,1,2,1,4,WX,35.615216,-105.952788,ABQ,-106.0166117,35.11253875,SR,KABQ,Albuquerque NM,Albuquerque,New Mexico,NM,1,62,3,1,1,-0.2500987002801443,0.3951045915319978,0.5448997990574846,-0.3936193271027851,-0.5130928251706659,0.7857338053347575,-0.10553495291806639,1.9549508631714698
