CountyFP,riskp_est,riskp_est_diff,StateFP,County_name,County_name_long,CSAFP,CBSAFP,PPSTATEN,State_name,reg4,reg9
1001,39.87990465,0.226583222,1,Autauga,Autauga County,NA,33860,AL,Alabama,South,East-South Central
1003,39.60322601,-0.05009542,1,Baldwin,Baldwin County,380,19300,AL,Alabama,South,East-South Central
1005,43.21884836,3.56552693,1,Barbour,Barbour County,NA,NA,AL,Alabama,South,East-South Central
1007,41.37331419,1.719992764,1,Bibb,Bibb County,142,13820,AL,Alabama,South,East-South Central
1009,40.08824789,0.434926469,1,Blount,Blount County,142,13820,AL,Alabama,South,East-South Central
1011,43.89316889,4.239847462,1,Bullock,Bullock County,NA,NA,AL,Alabama,South,East-South Central
1013,43.81688045,4.163559022,1,Butler,Butler County,NA,NA,AL,Alabama,South,East-South Central
1015,40.78402934,1.130707913,1,Calhoun,Calhoun County,NA,11500,AL,Alabama,South,East-South Central
1017,42.06144591,2.408124486,1,Chambers,Chambers County,194,46740,AL,Alabama,South,East-South Central
1019,40.72010302,1.066781593,1,Cherokee,Cherokee County,NA,NA,AL,Alabama,South,East-South Central
1021,40.56566018,0.912338753,1,Chilton,Chilton County,142,13820,AL,Alabama,South,East-South Central
1023,43.93191207,4.278590643,1,Choctaw,Choctaw County,NA,NA,AL,Alabama,South,East-South Central
1025,42.8774018,3.224080377,1,Clarke,Clarke County,NA,NA,AL,Alabama,South,East-South Central
1027,39.91859567,0.265274249,1,Clay,Clay County,NA,NA,AL,Alabama,South,East-South Central
1029,39.5429609,-0.110360525,1,Cleburne,Cleburne County,NA,NA,AL,Alabama,South,East-South Central
1031,40.46240657,0.809085148,1,Coffee,Coffee County,222,21460,AL,Alabama,South,East-South Central
1033,41.1526506,1.49932917,1,Colbert,Colbert County,NA,22520,AL,Alabama,South,East-South Central
1035,44.73496529,5.081643864,1,Conecuh,Conecuh County,NA,NA,AL,Alabama,South,East-South Central
1037,41.80763882,2.154317393,1,Coosa,Coosa County,142,45180,AL,Alabama,South,East-South Central
1039,41.43805328,1.784731855,1,Covington,Covington County,NA,NA,AL,Alabama,South,East-South Central
1041,42.02418625,2.370864822,1,Crenshaw,Crenshaw County,NA,NA,AL,Alabama,South,East-South Central
1043,39.96952121,0.316199784,1,Cullman,Cullman County,142,18980,AL,Alabama,South,East-South Central
1045,41.94010531,2.28678389,1,Dale,Dale County,222,37120,AL,Alabama,South,East-South Central
1047,45.85009835,6.196776925,1,Dallas,Dallas County,NA,42820,AL,Alabama,South,East-South Central
1049,39.57048556,-0.082835865,1,DeKalb,DeKalb County,NA,NA,AL,Alabama,South,East-South Central
1051,40.69157701,1.038255584,1,Elmore,Elmore County,NA,33860,AL,Alabama,South,East-South Central
1053,42.78946992,3.136148494,1,Escambia,Escambia County,NA,NA,AL,Alabama,South,East-South Central
1055,41.40651955,1.753198123,1,Etowah,Etowah County,NA,23460,AL,Alabama,South,East-South Central
1057,41.83238357,2.179062143,1,Fayette,Fayette County,NA,NA,AL,Alabama,South,East-South Central
1059,41.47494141,1.821619988,1,Franklin,Franklin County,NA,NA,AL,Alabama,South,East-South Central
1061,41.82998595,2.176664525,1,Geneva,Geneva County,222,20020,AL,Alabama,South,East-South Central
1063,47.16612382,7.512802391,1,Greene,Greene County,NA,NA,AL,Alabama,South,East-South Central
1065,43.80462544,4.151304012,1,Hale,Hale County,NA,46220,AL,Alabama,South,East-South Central
1067,41.5089019,1.855580473,1,Henry,Henry County,222,20020,AL,Alabama,South,East-South Central
1069,42.56752113,2.9141997,1,Houston,Houston County,222,20020,AL,Alabama,South,East-South Central
1071,38.94437471,-0.708946717,1,Jackson,Jackson County,174,42460,AL,Alabama,South,East-South Central
1073,43.05768543,3.404364001,1,Jefferson,Jefferson County,142,13820,AL,Alabama,South,East-South Central
1075,42.2071451,2.55382367,1,Lamar,Lamar County,NA,NA,AL,Alabama,South,East-South Central
1077,39.87754461,0.224223186,1,Lauderdale,Lauderdale County,NA,22520,AL,Alabama,South,East-South Central
1079,41.63346007,1.980138642,1,Lawrence,Lawrence County,290,19460,AL,Alabama,South,East-South Central
1081,39.85942945,0.206108028,1,Lee,Lee County,194,12220,AL,Alabama,South,East-South Central
1083,39.28706305,-0.366258373,1,Limestone,Limestone County,290,26620,AL,Alabama,South,East-South Central
1085,45.51233309,5.859011665,1,Lowndes,Lowndes County,NA,33860,AL,Alabama,South,East-South Central
1087,45.61470736,5.961385935,1,Macon,Macon County,NA,NA,AL,Alabama,South,East-South Central
1089,40.70935497,1.056033549,1,Madison,Madison County,290,26620,AL,Alabama,South,East-South Central
1091,44.05227062,4.398949192,1,Marengo,Marengo County,NA,NA,AL,Alabama,South,East-South Central
1093,41.11963765,1.466316228,1,Marion,Marion County,NA,NA,AL,Alabama,South,East-South Central
