tweetid,tweettimestamp,user,text,retweetedtext,is_retweet,is_quotestweet,F,P,V,ND1,ND2,ND3,ND4,ND5,D1,D2,D3,T,TP
1.04E+18,1535855790,NWS Aberdeen,"Heads up, tonight's strongest storms may contain hail up to 1' in diameter and gusty winds. Here's an idea on timing. #sdwx #mnwx https://t.co/Qqsh5CnSbv",,FALSE,FALSE,1,1,1,may,,,,,,,,1,1
1.01E+18,1529004070,NWS Aberdeen,@theSLABradio Most all of central and northeast South Dakota are in a slight or enhanced risk of severe weather. Aberdeen is near the enhanced area.,,FALSE,FALSE,1,0,,,,,,,,,,0,
1.01E+18,1530220065,NWS Aberdeen,Stay alert tonight especially across far northern SD or if traveling into North Dakota - severe weather is possible. #sdwx https://t.co/PujWXmpsfC,,FALSE,FALSE,1,1,1,possible,,,,,,,,1,1
1.01E+18,1528745474,NWS Aberdeen,Cooler temperatures for the area after during the week. Slight chance for some afternoon thunderstorm development Wednesday afternoon. https://t.co/4AOolXwKmf,,FALSE,FALSE,1,1,1,,,,,,slight chance,,,2,2
1.01E+18,1530393309,NWS Aberdeen,"The best opportunity for rain and thunderstorms tonight will be over southern and southeastern South Dakota. Dry conditions are expected on Sunday, with thunderstorm chances returning for the first half of the work week. https://t.co/8ccPsZUDBQ",,FALSE,FALSE,1,1,1,expected,chance,best opportunity,,,,,,1,1
1.00E+18,1527193343,NWS Aberdeen,"Widely scattered t-storms are expected this afternoon and evening. Where storms do fire, expect strong winds and large hail. #sdwx #mnwx https://t.co/pk5CZ8xnVl",,FALSE,FALSE,1,1,1,expected ,,,,,,,,1,1
1.01E+18,1529523385,NWS Aberdeen,"Additional images from the June 16, 2018 severe weather event can be found at: https://t.co/KLCuTLrQ2T https://t.co/3luvqtpbxV",,FALSE,FALSE,0,,,,,,,,,,,0,
1.00E+18,1527305864,NWS Aberdeen,@tornadowx15 No rotation associated with this storm. Only reports we got were of nickel size hail.,,FALSE,FALSE,0,,,,,,,,,,,0,
1.01E+18,1529143583,NWS Aberdeen,"Heavy Rain, Large Hail And Damaging Winds Possible Today And Tonight. #sdwx #mnwx https://t.co/oAABZwJ4K8",,FALSE,FALSE,1,1,1,possible,,,,,,,,1,1
1.00E+18,1528296369,NWS Aberdeen,"We're still collecting severe weather reports from last night, so if you received any hail or strong winds, let us know.  Here are the latest reports: https://t.co/ehBn2PZ7e9 #SDwx #MNwx https://t.co/2BZEftPxxE",,FALSE,FALSE,0,,,,,,,,,,,0,
1.01E+18,1528924075,NWS Aberdeen,Mostly sunny with highs nearing 100 degrees across portions of central South Dakota Thursday. Evening severe weather possible. #sdwx #mnwx https://t.co/yMTnrkeCeD,,FALSE,FALSE,1,1,1,possible,,,,,,,,1,1
1.01E+18,1530179197,NWS Aberdeen,Severe weather threat is mainly focused across North Dakota tonight but storms could drop into the northern tier #SDWX https://t.co/CMUkuFzEeV,,FALSE,FALSE,1,1,1,could,threat,,,,,,,1,1
1.03E+18,1535125056,NWS Aberdeen,Latest storm reports and rainfall estimates from Thursday's severe weather event. A Storm Damage Survey Team has also deployed this morning to assess the aftermath of two tornadoes which struck northern Hyde County. #sdwxInteractive reports map: https://t.co/hShrIeY7QU https://t.co/FyoCWtdch9,,FALSE,FALSE,0,,,,,,,,,,,0,
9.91E+17,1525141369,NWS Aberdeen,Radar loop during the last couple hours until 9 PM shows the strongest t-storm activity between Mitchell and Yankton. A few t-storm cells have developed SW of Aberdeen. Some small hail is possible with these. #sdwx #mnwx https://t.co/3NaYzYO2DR,,FALSE,FALSE,1,1,1,possible ,,,,,,,,1,1
1.01E+18,1530391840,NWS Aberdeen,We're able to see hail damage on satellite today from last night's storm in central South Dakota #SDwx https://t.co/QzQKl2gcgo,,FALSE,FALSE,0,,,,,,,,,,,0,
9.97E+17,1526551586,NWS Aberdeen,"Threat for severe storms west river this afternoon. As storms move east this evening, intensity is expected to drop. Could be large hail and strong winds though. Focus are shifts into Missouri/James valley for Friday afternoon #SDWX https://t.co/hqJumyndYv",,FALSE,FALSE,1,1,1,expected,could ,,,,,,,1,1
1.01E+18,1530356561,NWS Aberdeen,"Recap of the long lived storm across SD last evening. Main Reports: Tornado near the SD/WY border, Grapefruit (4.5') hail 5 NE Newell, Hen egg (2') sized hail 3 miles NNW of Mission Ridge, 60-79 mph winds, 3 miles of power poles downed W of Onida. https://t.co/rs5MqVx9SF",,FALSE,FALSE,0,,,,,,,,,,,0,
1.04E+18,1536547616,NWS Aberdeen,@csbbbw Good to hear CJ! Some big hail reports out of these storms.,,FALSE,FALSE,0,,,,,,,,,,,0,
1.01E+18,1528689211,NWS Aberdeen,A broken line of storms continues to press east. A severe storm or two are still possible. #sdwx https://t.co/mHYWYW494J,,FALSE,FALSE,1,1,1,possible,,,,,,,,1,1
1.00E+18,1528041601,NWS Aberdeen,"Review of the June 1st, 2018 severe weather and dust storm event: https://t.co/I6hDRWNxns #sdwx https://t.co/xHlADwoJ4S",,FALSE,FALSE,0,,,,,,,,,,,0,
9.71E+17,1520225271,NWS Aberdeen,@tornadowx15 Yes that would be hail. There is also some lightning with them.,NA,FALSE,FALSE,0,,,,,,,,,,,0,
1.02E+18,1531098739,NWS Aberdeen,"8PM CDT, July 8, 2018: Thunderstorms over northeast SD are tracking east-southeast with the threat for severe weather continuing. https://t.co/r6v8zq4X0x",,FALSE,FALSE,1,1,1,threat,,,,,,,,1,1
1.04E+18,1537893674,NWS Aberdeen,"Heads up - after a steady, gentle rain this morning, showers and thunderstorms will redevelop this afternoon (see forecast reflectivity loop). Lightning, small hail and gusty winds are possible threats. #sdwx #mnwx https://t.co/SMRm8bBbnM",,FALSE,FALSE,1,1,1,possible,,,,,,,,1,1
1.01E+18,1528492025,NWS Aberdeen,T-storms developing across western SD are expected to move east this evening/tonight. Severe weather is possible. #sdwx https://t.co/gplKF7rHv3,,FALSE,FALSE,1,1,1,expected,possible,,,,,,,1,1
