p_id,torwatch,torwarn,rec_all,rec_most,rec_soon,rec_sleep,rec_driving,rec_work,rec_store,rec_small_group,rec_large_group,rec_morn,rec_aft,rec_eve,alert_und,tor_watchwarn_und,tor_map_und,tor_radar_und,svr_watchwarn_und,und_morn,und_aft,und_eve,warn_time,warn_time_minutes,watch_time,watch_time_hours,warn_size,watch_size,resp_prot,resp_sleep,resp_driving,resp_work,resp_store,resp_small_group,resp_large_group,resp_morn,resp_aft,resp_eve,gend,age,hisp,race,nws_region,WARNING_AVG,weightfactor
EPO77VBNDHYXC5L4M3,NA,2,4,4,3,2,2,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,1,50,2,4,2,2,4,2,3,3,3,3,3,3,3,3,1,54,0,4,Central Region,15.833333333333334,0.355626
EPO77VDM9WRF6HJ4M9,NA,2,3,3,2,1,3,1,1,3,3,2,3,2,3,1,3,1,1,2,2,2,1,45,2,6,2,3,2,2,2,3,2,3,3,2,2,2,0,61,0,4,Eastern Region,1.8333333333333333,0.879179
EPO77VDZDV5LMGD4M9,NA,2,2,2,2,1,4,4,4,4,4,3,3,2,4,2,2,2,3,3,3,2,2,NA,1,NA,3,3,4,1,3,4,4,4,4,3,3,2,0,66,0,1,Eastern Region,8,0.856166
EPO77VFCQLYRGXG4M6,1,NA,3,4,3,1,1,1,1,1,1,3,4,3,4,3,3,3,3,4,4,3,1,60,1,NA,1,1,3,1,2,2,2,2,2,3,3,3,1,63,0,1,Eastern Region,18.166666666666668,0.606766
EPO77VFD4CZHV2M4M0,1,NA,3,3,3,3,3,3,3,3,3,NA,3,3,4,3,3,3,3,3,3,3,1,50,2,6,3,3,3,3,3,3,3,3,3,3,3,3,1,66,0,1,Western Region,0.3333333333333333,0.886161
EPO77VFD67MR5R44M7,NA,2,2,4,3,1,2,3,2,3,4,3,3,3,4,2,5,2,2,3,3,3,2,NA,3,NA,2,3,3,1,NA,3,3,3,3,3,3,3,1,54,0,1,Eastern Region,4,0.526809
EPO77VFD885DNJG4M2,NA,2,3,3,3,2,3,4,3,4,4,2,3,4,1,2,2,2,3,2,3,4,NA,NA,2,24,3,3,4,3,3,4,3,4,4,2,3,4,1,66,0,1,Eastern Region,1.8333333333333333,0.965735
EPO77VFDG4RWYRM4M8,NA,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,NA,2,6,2,1,5,5,5,5,5,5,5,5,5,5,0,27,0,1,Western Region,0,0.795696
EPO77VFDTQ6LF744M1,NA,2,5,5,5,5,5,5,NA,5,5,4,5,5,5,5,5,5,5,5,4,5,1,30,1,NA,1,1,5,5,4,5,4,4,5,5,4,5,1,38,0,1,Western Region,5.166666666666667,0.409376
EPO77VFJ2CJKML44M9,NA,2,3,3,2,1,4,3,2,NA,4,2,3,4,4,2,3,3,4,4,4,4,1,30,2,5,3,4,3,1,4,4,3,4,4,4,4,4,1,56,0,1,Western Region,0,0.6983
