"p_id","age","age_group","gend","hisp","race","forcast_loc","forcast_time","forcast_prob","forcast_sev","forcast_impact","forcast_safe","five_days","three_days","two_days","one_day","income","edu","nws_region","TC"
"60d9e5ac-5216-d0e2-8b5e-9cd7b8519f52",61,5,1,0,1,2,3,1,4,5,6,3,1,4,6,2,6,"Eastern Region",2.05882352941176
"60d9fc0a-996f-4089-972a-209c9cab96fd",63,5,1,0,1,1,2,4,3,6,5,1,3,2,4,1,3,"Eastern Region",2.05882352941176
"60d5d166-5a72-a55b-0667-19fc9d175c80",74,6,1,0,1,6,1,3,2,4,5,3,2,4,1,3,6,"Eastern Region",2.05882352941176
"60d9e4b8-73e0-754d-11ba-05926d20ecad",59,5,1,0,1,2,1,4,3,6,5,3,4,3,4,1,4,"Eastern Region",2.05882352941176
"60d2091e-7d2a-c1b4-d8f6-02843e9ffacb",75,6,1,0,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,4,"Eastern Region",2.05882352941176
"60d3a7ee-ed0d-0fb1-074a-1d88c0191bd0",74,6,1,0,1,1,2,3,4,6,5,2,1,4,6,1,6,"Eastern Region",2.05882352941176
"60d20e0e-47f5-f065-2483-788662968ce9",62,5,1,0,1,6,4,3,1,2,5,3,3,2,1,1,2,"Eastern Region",2.05882352941176
"60d2095b-b655-4fba-8971-3066601ba321",67,6,1,0,1,NA,NA,NA,NA,NA,NA,3,3,4,5,1,4,"Eastern Region",0.294117647058824
"60d9e736-0e1d-34bd-daba-b556fafd59db",30,2,1,0,1,1,2,4,3,5,6,3,1,2,4,1,5,"Eastern Region",2.05882352941176
"60d9ee6c-67cb-49b8-4519-16f56ba0a347",75,6,1,0,1,1,1,1,1,1,1,2,2,1,1,2,5,"Eastern Region",2.05882352941176
"60db3f62-9574-f99c-6ac1-c05367e94661",50,4,0,0,1,3,2,1,5,4,6,1,3,3,6,1,3,"Eastern Region",2.05882352941176
"60d9ec9a-164c-5250-fbb8-187161d95e7a",40,3,1,0,1,NA,NA,NA,NA,NA,NA,1,4,1,4,3,6,"Eastern Region",2.05882352941176
"60d3a956-fe68-2c34-cd10-0083ea78db8b",66,6,0,1,1,2,3,1,4,6,5,1,3,2,4,3,7,"Eastern Region",2.05882352941176
