"p_id","age","age_group","gend","hisp","race","forcast_loc","forcast_time","forcast_prob","forcast_sev","forcast_impact","forcast_safe","five_days","three_days","two_days","one_day","zero_day","income","edu","nws_region","WW"
"62a8cdfd-968e-3602-dc2f-24759cdc973c",48,4,1,0,1,2,1,4,3,5,6,2,1,4,5,6,1,5,"Eastern Region",39.7058823529412
"62a92054-0c8a-c3b2-8f3c-6429848ff2ca",22,1,0,0,4,NA,NA,NA,NA,NA,NA,1,3,5,3,4,4,2,"Eastern Region",39.7058823529412
"7446525",46,4,1,0,1,1,2,4,3,5,6,1,4,2,4,2,3,3,"Eastern Region",39.7058823529412
"62a8d5dd-6107-acf7-04d4-83b963102a44",64,5,0,0,1,3,4,5,1,2,6,4,5,3,4,2,1,7,"Eastern Region",39.7058823529412
"7426099",28,2,1,1,2,3,4,1,2,5,6,3,1,4,4,4,2,6,"Eastern Region",39.7058823529412
"7314240",31,2,0,0,1,4,3,1,2,5,6,3,4,5,2,6,2,3,"Eastern Region",45
"62a8dd41-38bc-f965-5852-ca0fac317773",62,5,0,0,1,NA,NA,NA,NA,NA,NA,3,2,2,1,1,1,6,"Eastern Region",45
"62a76de5-271c-b302-642a-663b4603a838",59,5,0,0,1,1,3,4,2,5,6,3,2,4,6,1,1,4,"Eastern Region",39.7058823529412
"62a8e01e-ac92-3ce4-a8c3-8892fc2f4fb6",38,3,0,0,1,NA,NA,NA,NA,NA,NA,2,3,1,5,4,2,5,"Eastern Region",39.7058823529412
"62a8e2c2-445e-a576-749e-f81170ee6f9b",61,5,1,0,1,4,1,6,2,3,5,4,4,4,4,4,2,6,"Eastern Region",39.7058823529412
"62a8da7a-acc3-1985-2796-c6342d2c6d0e",71,6,1,0,1,1,2,4,3,5,6,1,2,1,4,2,1,5,"Eastern Region",39.7058823529412
"62ab73db-7e98-26eb-883a-034567df0ff1",29,2,1,1,1,3,4,2,1,5,6,3,4,4,5,5,1,2,"Eastern Region",39.7058823529412
"62a76c3d-8a26-fad9-e9e0-a79c55951f8f",67,6,1,0,1,5,2,4,1,3,6,2,4,1,4,1,2,4,"Eastern Region",39.7058823529412
