"p_id","age","age_group","gend","hisp","race","forcast_loc","forcast_time","forcast_prob","forcast_sev","forcast_impact","forcast_safe","three_days","one_day","four_hours","sixty_min","fifteen_min","income","edu","nws_region","WX"
"60c8ddf2-68b2-4f3d-1d4f-a60f1ef9617d",47,4,1,0,1,1,2,3,4,5,6,3,3,1,4,4,1,5,"Eastern Region",27.5
"60ca30fe-75ff-1d09-07d3-918e2c3cf633",45,4,0,0,1,1,2,3,4,5,6,1,3,2,5,6,1,7,"Eastern Region",27.5
"60c8d5e6-28e9-714e-02aa-600f11a5da89",75,6,1,0,1,2,1,6,3,4,5,5,5,2,4,5,1,4,"Eastern Region",27.5
"60c8cf35-bb2d-170c-4fa0-4a5d459c8f2b",62,5,1,0,1,1,2,3,4,6,5,3,4,5,1,4,1,2,"Eastern Region",27.5
"60c93c09-d030-36fb-45ca-e82d92ff902f",48,4,1,0,1,1,2,3,4,5,6,3,1,3,1,4,2,6,"Eastern Region",27.5
"60ca474b-466e-ea27-ca2a-a07a6eeb3590",46,4,0,0,1,3,1,2,4,6,5,1,2,4,6,5,1,4,"Eastern Region",27.5
"60c9157c-4008-495b-d8cb-812c052744a5",35,3,1,0,1,5,4,6,2,3,1,6,5,4,2,1,1,3,"Eastern Region",31.4705882352941
"60ca2dc5-c6ad-bafb-a432-c5ac9d5f3588",57,5,0,0,1,2,3,1,4,5,6,6,6,2,1,1,3,4,"Eastern Region",31.4705882352941
"60c8dc20-1d1e-504c-cc7f-6171b02cbfd3",30,2,1,0,1,1,2,3,5,4,6,1,4,5,6,6,1,5,"Eastern Region",27.5
"60c0d3e9-29e6-dd98-7209-65349586eeee",62,5,0,0,1,2,6,5,4,3,1,3,2,4,4,4,2,4,"Eastern Region",27.5
"60c3bb39-8d1c-ff45-42ca-a33be19ba194",49,4,0,1,1,1,2,6,3,5,4,2,1,4,5,6,1,5,"Eastern Region",27.5
"60ca28be-ce24-f1b4-151a-61d95ef7170f",58,5,0,0,1,1,2,4,3,5,6,3,1,2,4,6,1,2,"Eastern Region",27.5
"60c3703c-0f50-708d-1f3d-d16b426198a3",33,2,0,1,1,5,6,4,1,2,3,4,2,2,4,5,2,2,"Eastern Region",27.5
"60c26153-445c-c9bc-15c6-614696efd8f0",65,6,0,1,1,2,3,1,4,6,5,5,1,4,6,6,3,7,"Eastern Region",27.5
"60c7b507-3210-f422-4898-14fa8963b2b8",49,4,0,0,4,2,5,1,3,4,6,3,5,6,4,6,4,8,"Eastern Region",27.5
"60c94d36-9b8c-cb0f-2c6f-35429fa6ab0d",40,3,0,0,1,2,3,1,6,4,5,4,5,6,5,5,3,6,"Southern Region",27.5
"60c8d19a-e2ee-0cfc-94ad-2c917c56e53b",32,2,1,0,1,NA,NA,NA,NA,NA,NA,3,1,5,3,1,1,6,"Eastern Region",27.5
"60ca2c8e-d73d-4e68-f353-4f2583a5b196",54,4,0,0,1,5,2,1,3,4,6,3,2,3,4,5,2,6,"Eastern Region",27.5
"60ca2839-7a69-102e-b030-70eedeac5974",57,5,0,0,1,1,3,2,5,6,4,2,1,1,3,4,2,2,"Eastern Region",27.5
