survey_year,age,survey_hazard,"Broadcast
radio","Weather
radio",Television,"Internet
websites","Social
media","Friends,
family","Phone
notifications",Sirens,weightfactor
2017,30,WX,4,1,3,4,4,5,2,2,0.55934
2017,64,WX,2,4,5,1,1,1,4,5,1.148284
2017,69,WX,4,1,4,1,1,4,3,5,0.392336
2017,74,WX,3,4,3,3,1,3,3,4,0.415552
2017,54,WX,5,5,5,5,4,4,4,5,1.478245
2017,40,WX,3,4,4,4,2,2,3,4,1.402759
2017,69,WX,3,3,3,2,1,2,1,3,0.413876
2017,78,WX,1,1,3,5,2,5,5,3,0.683509
2017,52,WX,5,5,5,5,4,3,5,5,1.014784
2017,71,WX,3,2,4,2,4,4,2,4,0.990271
2017,58,WX,1,5,5,1,3,4,5,5,0.901934
2017,73,WX,2,2,3,2,1,1,3,1,0.415552
2017,63,WX,3,4,4,3,3,4,2,5,0.912746
2017,59,WX,5,1,4,2,2,4,5,4,0.763112
2017,62,WX,5,1,5,2,1,5,3,5,1.148284
2017,66,WX,2,1,4,4,1,2,2,1,0.413876
2017,54,WX,5,5,5,5,5,4,5,5,0.541373
2017,60,WX,1,1,5,1,1,4,5,1,1.148284
2017,60,WX,3,2,5,3,1,3,4,4,0.82161
2017,55,WX,2,1,2,1,3,1,3,2,0.683553
2017,71,WX,1,5,3,3,1,2,1,1,0.415552
2017,72,WX,4,4,1,1,1,1,1,1,0.325254
2017,69,WX,4,5,4,2,1,2,1,5,1.133361
2017,67,WX,2,1,2,2,1,1,5,1,1.123528
2017,80,WX,1,1,5,2,1,1,3,3,2.120231
2017,73,WX,4,3,4,3,3,4,2,2,0.415552
2017,74,WX,3,5,4,2,1,1,1,1,0.706575
2017,74,WX,3,1,5,2,4,3,5,4,0.415552
2017,53,WX,2,3,4,3,2,3,3,4,1.494878
2017,51,WX,5,5,5,3,3,5,5,5,0.278324
2017,73,WX,1,1,4,2,1,1,1,3,1.318094
2017,40,WX,1,1,3,1,2,3,2,1,1.140966
2017,58,WX,5,5,5,3,2,4,5,5,0.684897
2017,48,WX,1,1,3,3,1,1,1,1,0.280083
2017,32,WX,5,5,5,5,1,5,5,5,0.851222
2017,59,WX,3,1,4,1,1,3,3,4,0.675407
2017,67,WX,2,1,5,3,1,3,3,2,1.123528
2017,67,WX,4,4,4,3,3,4,3,4,0.258079
2017,60,WX,5,3,5,3,3,3,3,5,0.821788
2017,49,WX,3,3,3,3,3,3,3,3,1.358379
2017,81,WX,3,5,5,3,1,3,5,2,1.076762
2017,76,WX,1,5,3,1,1,1,5,3,0.878311
2017,66,WX,4,3,4,3,2,3,3,4,0.885167
2017,72,WX,4,1,4,1,1,3,1,1,0.491409
2017,28,WX,1,1,5,4,1,2,1,1,1.488197
2017,67,WX,2,2,3,1,1,1,1,1,1.123528
2017,52,WX,5,5,5,5,4,4,5,5,0.960934
2017,65,WX,4,4,5,4,3,3,1,5,0.675907
2017,58,WX,5,5,5,4,3,2,4,5,1.830634
2017,59,WX,4,3,4,4,1,1,4,3,0.648171
2017,65,WX,3,2,3,1,1,2,2,2,0.533843
2017,63,WX,4,4,2,1,2,1,2,4,0.699624
2017,57,WX,1,1,5,3,1,2,3,4,0.684897
2017,73,WX,4,1,2,1,1,3,1,5,1.318094
2017,63,WX,3,3,4,3,1,3,3,1,1.148284
2017,74,WX,3,2,3,2,2,4,3,5,0.990271
2017,30,WX,3,3,5,3,1,5,3,3,0.82735
2017,60,WX,4,3,4,3,1,3,4,2,0.759784
2017,59,WX,3,2,4,3,1,1,3,4,0.683553
2017,76,WX,1,1,1,1,1,1,1,1,0.501118
2017,71,WX,4,1,3,1,1,1,1,1,0.415552
2017,64,WX,5,5,5,4,2,3,5,1,0.891744
2017,61,WX,1,1,5,1,1,2,1,5,0.912746
2017,56,WX,3,3,4,2,2,4,4,3,0.648171
2017,60,WX,4,1,5,3,2,4,5,5,0.830245
2017,57,WX,4,4,5,4,3,4,4,4,0.51039
2017,41,WX,1,1,3,3,1,2,1,3,0.363938
2017,57,WX,1,1,5,1,1,5,1,1,0.901934
2017,29,WX,1,1,2,3,3,1,5,2,0.2257
2017,56,WX,1,1,4,2,1,4,1,3,0.901934
2017,65,WX,3,1,5,3,1,1,3,5,0.445701
2017,62,WX,5,5,4,4,2,4,5,5,0.880582
2017,58,WX,3,3,4,2,1,2,3,3,1.415151
2017,46,WX,1,1,3,1,1,3,3,3,1.254772
2017,54,WX,5,5,5,1,1,4,5,5,1.046124
2017,61,WX,4,3,4,3,1,1,1,1,0.880582
2017,55,WX,3,3,1,2,2,2,2,3,0.70539
2017,58,WX,1,1,3,3,1,1,5,1,0.675407
2017,66,WX,1,3,1,3,1,2,3,1,0.976731
2017,55,WX,1,1,5,1,1,1,1,5,0.683553
2017,70,WX,4,4,3,3,2,3,3,3,0.016336
2017,71,WX,3,1,4,2,1,1,3,3,1.294332
2017,53,WX,4,4,4,4,2,3,4,2,1.014784
2017,52,WX,4,2,3,4,2,3,1,5,1.046124
2017,59,WX,1,1,5,3,3,5,5,4,0.683553
2017,65,WX,2,5,5,2,1,1,1,1,0.976731
2017,58,WX,3,4,3,4,1,2,3,2,0.941646
2017,62,WX,3,1,4,3,3,3,3,4,0.912746
2017,72,WX,3,3,3,3,3,3,3,3,0.415552
2017,52,WX,4,5,4,3,1,3,3,4,0.541373
2017,54,WX,4,1,5,2,5,5,5,1,1.014784
2017,39,WX,1,1,1,3,3,3,3,1,0.089477
2017,52,WX,3,3,4,4,2,4,4,4,0.553423
2017,68,WX,4,4,4,4,2,2,4,3,0.392336
2017,57,WX,5,4,4,4,2,4,1,5,0.901934
2017,55,WX,3,4,4,3,2,2,5,2,0.56123
2017,36,WX,2,2,5,4,1,3,3,1,0.634947
2017,57,WX,4,4,5,1,1,2,3,5,1.830634
2017,36,WX,3,1,4,3,1,2,1,1,0.634947
2017,44,WX,2,1,5,1,1,4,5,4,0.774187
2017,55,WX,5,1,5,2,2,4,5,4,0.763112
2017,70,WX,3,4,3,3,1,2,3,4,1.318094
2017,49,WX,3,3,4,2,2,3,4,5,0.789356
2017,57,WX,4,4,4,3,2,3,3,2,0.901934
2017,53,WX,3,3,5,2,2,3,3,3,0.981726
2017,52,WX,2,4,4,3,1,1,3,3,1.478245
2017,61,WX,3,3,4,4,1,3,3,4,0.862555
2017,54,WX,5,5,5,5,5,5,5,5,0.221856
2017,65,WX,3,5,4,3,3,3,4,4,0.65467
2017,50,WX,3,3,5,3,1,2,4,5,1.175045
2017,34,WX,3,3,4,1,1,1,5,2,1.086604
2017,66,WX,1,2,4,1,1,2,1,3,0.419174
2017,64,WX,1,1,5,1,1,5,5,2,0.891744
2017,60,WX,4,5,5,3,1,3,3,5,0.912746
2017,48,WX,1,3,5,3,1,3,1,5,0.946634
2017,34,WX,3,3,3,3,3,3,3,3,0.898161
2017,66,WX,3,3,5,3,1,2,2,3,0.65467
2017,48,WX,4,4,5,5,5,3,5,5,0.863402
2017,59,WX,1,1,3,4,2,1,1,1,0.901934
2017,67,WX,3,5,5,5,2,2,2,1,1.133361
2017,71,WX,4,4,4,4,4,4,4,4,0.390121
2017,61,WX,4,4,4,4,3,3,3,4,0.880582
2017,71,WX,3,3,5,1,1,4,3,5,1.294332
2017,68,WX,5,5,5,4,5,3,5,5,0.774454
2017,32,WX,3,3,3,3,3,3,3,3,0.798854
2017,58,WX,3,5,4,4,1,5,4,5,0.763112
2017,66,WX,4,5,4,3,1,3,1,2,0.413876
2017,65,WX,4,5,5,5,3,3,5,5,1.123528
2017,24,WX,3,3,3,3,3,1,3,3,0.214717
2017,72,WX,1,1,3,1,1,3,1,3,0.056432
2017,41,WX,4,4,4,3,2,4,4,5,1.140966
2017,69,WX,5,1,3,3,1,1,4,4,0.413876
2017,54,WX,5,5,5,5,5,5,5,5,0.510234
2017,60,WX,3,4,4,4,1,3,3,1,0.82161
2017,70,WX,3,5,4,3,1,2,3,1,0.706575
2017,52,WX,3,1,5,4,1,3,2,2,2.018998
2017,58,WX,5,5,5,3,3,4,4,3,0.855202
2017,55,WX,1,1,5,1,1,1,1,5,0.140614
2017,65,WX,3,3,4,3,1,1,1,3,0.675907
2017,83,WX,1,2,3,2,1,2,3,1,2.120231
2017,72,WX,2,1,4,2,1,2,1,4,0.415552
