long_torhit_time,long_torhit_resp,long_torhit_nothing,long_torhit_monitor,long_torhit_prepare,long_torhit_shelter,long_torhit_nonshelter,long_torhit_conshelter,long_torhit_leave,long_torhit_leave_shelter,long_torhit_leave_avoid,long_torhit_not_sure,long_torhit_other
8,watch,,1,,,,,,,,,
8,get my dogs and cat and get into a bathtub,,,1,,1,,,,,,
8,go home and prepare,,1,,1,,,,,,,
8,"Plan out my day, so I would be in an area of protection. Call my family and neighbors to make sure they are also aware of the warning.",,,1,,,,,,,,
8,nothing,1,,,,,,,,,,
4,"Move outdoor furniture to locations where less likely to fly through windows; secure windows and doors, gather emergency supplies in sheltering location and take shelter with family and pets",,,1,1,,,,,,,
4,monitor the situation,,1,,,,,,,,,
8,"Move purse, computer, keys, medicine and such to the basement and then monitor the weather.",,1,1,,,,,,,,
4,"Run home, grab important necessities and take shelter",,,1,1,,,,,,,
4,monitor the situation,,1,,,,,,,,,
4,find shelter,,,1,,,,,,,,
4,Try to find out what shelter is available close to me.,,,1,,,,,,,,
4,I would stay at home and find cover,,,,1,,,,,,,
4,take my cat and see if I can drive somewhere away from the eye of the storm,,,1,,,,1,,,,
4,plan a action,,,1,,,,,,,,
8,take forecasts,,1,,,,,,,,,
8,I would not be worried I would have time to solve more calm,1,,,,,,,,,,
8,"Monitor the situation, but not move to shelter ",,1,,,,,,,,,
4,secure items,,,1,,,,,,,,
8,I would prepare my family to take provisions and I would go to another area,,,1,,,,1,,,,
4,Go to the basement and stay tuned to the TV for further instructions ,,1,,,1,,,,,,
8,I would try to get my mean neighbors to let me use their basement.,,,1,,,,,,,,
4,Drive away from the area.,,,,,,,1,,,,
8,make sure my emergency supplies are stocked and then stay at my residence in the safest location,,,1,1,,,,,,,
8,I would stay at home with my family and monitor the situation.,,1,,1,,,,,,,
8,waint to see if the warning is canceled,,1,,,,,,,,,
8,monitor,,1,,,,,,,,,
4,Go to somewhere far from center of tornado,,,,,,,1,,,,
4,continue to monitor,,1,,,,,,,,,
4,go to safe spot in house,,,,,1,,,,,,
8,watch the tv ,,1,,,,,,,,,
8,Monitor the situation but not take cover,,1,,,,,,,,,
8,Nothing. Continue on my daily life.,1,,,,,,,,,,
8,keep an ear out,,1,,,,,,,,,
8,move to basement or secure area in building,,,,,1,,,,,,
4,be on alert for warnings,,1,,,,,,,,,
8,I would monitor the situation and look to the skies for the funnel.  Then I would head to the basement.,,1,,,1,,,,,,
8,continue with my day and monitor the weather,,1,,,,,,,,,
8,Try to prepare for it,,,1,,,,,,,,
4,drive away in the opposite direction of it,,,,,,,1,,,,
4,"Monitor the weather via tv, internet, phone and adjust accordingly. ",,1,,,,,,,,,
4,,,,,,,,,,,,1
8,N/a,1,,,,,,,,,,
4,Leave the area.,,,,,,,1,,,,
4,"Get a low, windowless area of the house set up with flashlights, snacks, water and blankets. Be on alert for signs of weather changing and go to the sheltered area as soon as something seems amiss.",,,1,1,,,,,,,
8,stock up on water and batteries,,,1,,,,,,,,
4,"Take the car and retire as soon as possible with the whole family
",,,,,,,1,,,,
4,leave,,,,,,,1,,,,
4,"Understand Tornado path, evaluate whether or not I could leave the path, and if so, leave wherever I am to be out of the path.",,,1,,,,,,1,,
4,not sure,,,,,,,,,,1,
8,RUN,,,,,,,1,,,,
4,I will find a safe place from it and prepare to stay there until the tornado leaves.,,,,,,,,,1,,
8,"If at home, grab my bike helmet and go to the tub or closet downstairs.  If not at home, locate the innermost part and go there and get low.",,,1,,1,,,,,,
8,i would stay at home and monitor the situation closely,,1,,1,,,,,,,
4,search for the nearest emergency gathering to wait out the storm safety and take my emergency food and water kit with me,,,1,,,,,1,,,
8,stay near a basement,,,1,,,,,,,,
4,Prepare to find shelter in the basement of my home,,,1,,,,,,,,
8,prepare and leave the vicinity,,,1,,,,,,1,,
8,Prepare and Seek shelter,,,1,1,,,,,,,
8,"I'd be home and not at work, changes things",1,,,,,,,,,,
4,"Nothing, but monitor the situation",,1,,,,,,,,,
8,leave town,,,,,,,,,1,,
8,shelter,,,,1,,,,,,,
4,go to a shelter,,,,1,,,,,,,
4,prepare to monitor situation,,1,,,,,,,,,
4,monitor,,1,,,,,,,,,
8,the action that needs to be taken,,,1,,,,,,,,
8,continue to monitor the weather and take action if and when necessary,,1,,1,,,,,,,
8,take safe shelter,,,,1,,,,,,,
8,"go to the safest place
",,,,,,,1,,,,
4,monitor and then get to the most secure part of my apartment if necessary,,1,,1,,,,,,,
4,"Plan ahead, assess the situation.  That's actually to far ahead to predict, but I guess if I were certain, I would head to a safe location away from the storm",,,1,,,,1,,,,
4,none,1,,,,,,,,,,
4,monitor the situation closely by leaving TV on and prepare to take action if dirrected,,1,1,,,,,,,,
8,,,,,,,,,,,,1
4,moniter the situation,,1,,,,,,,,,
4,Start gathering some important papers.,,,1,,,,,,,,
8,i ll leave the place,,,,,,,,,1,,
4,"Monitor the situation, but not move to shelter.",,1,,,,,,,,,
4,Find a safe location in my home or whatever location I may be at that time.  ,,,,1,,,,,,,
8,not sure,,,,,,,,,,1,
8,Look online on what I should do,,,1,,,,,,,,
4,Monitor the situation but continue doing what I was doing.,,1,,,,,,,,,
8,shelter ,,,,1,,,,,,,
4,close hurricane shutters,,,1,,,,,,,,
4,prepare to enter the basement.,,,1,,,,,,,,
8,"Pack some belongings for family, take my family and important documents with me.",,,1,,,,,,,,
8,Seek shelter at work. ,,,,1,,,,,,,
8,calm,1,,,,,,,,,,
8,not sure,,,,,,,,,,1,
8,,,,,,,,,,,1,
8,Stay inside at home. Leave on radio or tv to monitor the situation. Be ready to move to safe shelter if need be.,,1,1,,,,,,,,
8,"
I try to get out of my location quickly",,,,,,,,,1,,
8,move,,,,,,,1,,,,
4,I think will be fine,1,,,,,,,,,,
8,run,,,,,,,1,,,,
8,,,,,,,,,,,,1
8,Stay at home,,,,1,,,,,,,
8,Go in a closet,,,,,1,,,,,,
8,leave,,,,,,,1,,,,
8,leave the area,,,,,,,,,1,,
4,hide under a desk and find a location that seems strong,,,,,1,,,,,,
8,i dont know,,,,,,,,,,1,
4,Take shelter in the nearest loacation,,,,,,,,1,,,
4,get out,,,,,,,1,,,,
4,leave the area,,,,,,,,,1,,
8,Seek shelter as best I can.,,,,1,,,,,,,
4,I would drive as far as possible from the tornado or enter a place that seems safe,,,,,,,,,1,,
8,khjkljk,,,,,,,,,,,1
8,move to shelter.,,,,1,,,,,,,
8,watch the news for updates,,1,,,,,,,,,
4,I would monitor the weather.  ,,1,,,,,,,,,
4,stay home,,,,1,,,,,,,
4,monitor situation and make sure I was ready if needed.,,1,,,,,,,,,
4,not sure,,,,,,,,,,1,
4,take the necessary precautions to seek safe shelter,,,1,,,,,,,,
4,MOVE TO MY BUILDINGS STAIRWELL,,,,,1,,,,,,
8,I would find the nearest shelter.,,,1,,,,,,,,
