p_id,long,lat,end_datetime,age,gender,education,race,income,storm_system,storm_rec_warn,rec_subscribe,wthr_info_web,wthr_info_govweb,wthr_info_loctv,wthr_info_cabtv,wthr_info_radio,wthr_info_fam,wthr_info_soc,wthr_info_phone
Nm-W100208,-97.870261,36.484963,1466007837,50,1,4,1,1.60E+05,2,1,Strongly agree,About once a day,About once a day,Several times a day,About once a day,About once a day,Several times per week,Several times a day,Several times a day
Nm-W100227,-97.835552,36.383864,1465397684,58,1,4,6,4.50E+04,2,0,Strongly agree,Less than once per week,Several times per week,Several times a day,Less than once per week,Less than once per week,Less than once per week,Never,About once a day
Nm-W100344,-97.9401,36.39342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nm-W100639,-97.935959,35.846363,1465866925,52,0,6,1,4.00E+04,1,NA,Strongly disagree,About once per week,Several times a day,About once a day,Never,About once a day,Several times a day,Never,Never
Nm-W100663,-98.11986,35.97324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nm-W100670,-97.737447,36.80303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nm-W100680,-98.178858,36.38812,1465325376,58,1,6,1,1.30E+05,0,NA,Disagree,Never,Less than once per week,About once a day,Never,Several times a day,Never,Never,Never
Nm-W101057,-96.27786,36.21947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nm-W101178,-96.925508,36.203511,1465531274,40,0,4,1,5.50E+04,2,NA,Agree,NA,NA,About once a day,NA,About once a day,NA,NA,About once per week
Nm-W101198,-96.494526,36.09998,1465398367,44,0,4,1,3.30E+04,1,2,Strongly agree,About once per week,About once per week,Several times a day,Never,Several times a day,About once a day,Never,Never
Nm-W101274,-97.2002,36.08652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nm-W101303,-97.069713,36.169091,1465324030,59,0,6,1,4.00E+04,0,NA,Agree,Several times a day,Several times a day,Several times per week,Less than once per week,Less than once per week,Several times a day,Several times a day,Several times a day
Nm-W101304,-97.135377,36.100801,1465341478,54,0,4,1,1.80E+04,2,1,Agree,About once a day,About once a day,Several times a day,Never,Never,Several times per week,Less than once per week,Several times per week
Nm-W101412,-96.974584,36.116409,1466099263,66,1,6,1,5.00E+04,2,NA,Strongly disagree,About once a day,Never,About once a day,About once a day,Several times a day,About once a day,Never,Never
